,IP,Port,URL,Inverter Type,Latitude,Longitude,Title,Other,Capacity,# of Microinverters
109,98.154.117.74,85,http://98.154.117.74:85/,SMA,21.33555,-158.0582,SMA Cluster Controller,,33,
110,74.203.87.171,80,http://74.203.87.171/,egauge,21.30694,-157.85833,,sign in required,32.66,
111,147.81.8.60,80,http://147.81.8.60/,egauge,21.30694,-157.85833,Element Canopy 4 Building 6,modbus server,32.64,
112,141.239.94.151,80,http://141.239.94.151/,egauge,21.33555,-158.0582,Element Canopy 2 Building 2,modbus server,30,
113,147.81.14.9,80,http://147.81.14.9/,egauge,21.33555,-158.0582,Element Canopy 7 Building 11,modbus server,32.65,
114,50.113.4.224,80,http://50.113.4.224/,egauge,21.2941,-157.8284,Royal Aloha - Commercial,modbus server,0,
115,141.239.171.196,80,http://141.239.171.196,egauge,21.4504,-158.01503,Element Canopy 6 Building 12,modbus server,47.44,
116,72.235.10.166,80,http://72.235.10.166/,egauge,21.33555,-158.0582,Element Canopy 3 Building 7,modbus server,45.39,
117,76.173.120.241,80,http://76.173.120.241/,egauge,21.3179,-157.8521,eGauge Center,modbus server,0,
118,74.203.87.170,80,http://74.203.87.170/,egauge,21.30694,-157.85833,,sign in required,32.66,
119,98.155.89.244,80,http://98.155.89.244/,egauge,21.39734,-157.97516,Okinawan Center Tenant Water Meters,modbus server,3008,
120,141.239.94.188,80,http://141.239.94.188/,egauge,21.33555,-158.0582,Element Canopy 3 Building 5,modbus server,45.39,
121,147.81.13.185,80,http://147.81.13.185/,egauge,21.33555,-158.0582,Element Canopy 2 Building 4,modbus server,30.78,
122,141.239.95.236,80,http://141.239.95.236,egauge,21.33555,-158.0582,Element Canopy 7 Building 13,modbus server,42.26,
123,141.239.92.175,80,http://141.239.92.175/,egauge,21.4504,-158.01503,Element Canopy 6 Building 14,modbus server,47.95,
124,141.239.92.255,80,http://141.239.92.255/,egauge,21.33555,-158.0582,Element Canopy 1 Building 1,modbus server,32.75,
125,72.234.255.2,80,http://72.234.255.2/,egauge,21.4504,-158.01503,Hale Pau Hana Low-Rise Building C,modbus server,0,
126,76.173.116.187,80,http://76.173.116.187/,egauge,21.3179,-157.8521,Lusitana Hale,modbus server,35.55,
127,74.203.87.169,80,http://74.203.87.169/,egauge,21.30694,-157.85833,,sign in required,32.66,
128,72.234.131.58,1080,http://72.234.131.58:1080/,egauge,21.34614,-157.7238,eGauge Center,modbus server,0,
129,141.239.94.235,80,http://141.239.94.235/,egauge,21.33555,-158.0582,Element Canopy 4 Building 8,modbus server,32,
130,141.239.168.42,80,http://141.239.168.42/,egauge,21.4504,-158.01503,Element Canopy 5 Building 9,modbus server,97.4,
131,66.8.247.47,80,http://66.8.247.47/,egauge,21.4504,-158.01503,eGauge Center,sign in bypassed,21.27,
132,72.253.238.126,80,http://72.253.238.126/,egauge,21.30694,-157.85833,Furuya Enterprises,modbus server,39.37,
133,72.234.167.238,8021,http://72.234.167.238:8021/,egauge,21.59284,-158.10339,HT Waialua CO,,14.8,
134,66.75.89.101,80,http://66.75.89.101/,egauge,21.2887,-157.8006,,sign in required,32.66,
135,72.253.171.148,8021,http://72.253.171.148:8021/,egauge,21.30694,-157.85833,HT Kalaheo CO,,15.87,
136,72.234.204.157,8021,http://72.234.204.157:8021/,egauge,21.4504,-158.01503,HT Makaha CO,,41.68,
137,72.235.207.125,8021,http://72.235.207.125:8021/,egauge,21.4504,-158.01503,HT Mililani Mauka CO,,19.81,
138,72.253.171.232,8021,http://72.253.171.232:8021/,egauge,21.30694,-157.85833,HT Lihue Baseyard,,29.98,
139,72.234.53.148,8021,http://72.234.53.148:8021/,egauge,21.4504,-158.01503,HT Soda Creek CO,,29.25,
140,72.234.204.171,8021,http://72.234.204.171:8021/,egauge,21.43785,-158.18555,HT Waianae CO,,26.2,
142,50.113.47.66,8082,http://50.113.47.66:8082/,enphase envoy,21.2941,-157.8284,,Authorization Required,7.65,
143,24.94.92.171,8082,http://24.94.92.171:8082/,enphase envoy,21.33555,-158.0582,,Authorization Required,7.65,
144,98.155.81.73,8082,http://98.155.81.73:8082/,enphase,21.39734,-157.97516,,Authorization Required,7.65,
145,24.165.37.23,8082,http://24.165.37.23:8082/,enphase envoy,21.33555,-158.0582,,Authorization Required,7.65,
146,98.151.25.110,8082,http://98.151.25.110:8082/,enphase,21.39734,-157.97516,,Authorization Required,7.65,
147,66.91.229.51,80,http://66.91.229.51/home,enphase envoy,21.39734,-157.97516,,,2900,290
148,76.173.199.122,80,http://76.173.199.122/home,enphase envoy,21.39994,-157.79895,,,460,46
149,98.150.179.47,443,http://98.150.179.47/home,enphase envoy,21.33555,-158.0582,,,7.65,
150,72.234.241.81,80,http://72.234.241.81/home,enphase envoy,21.30694,-157.85833,,,160,16
151,76.83.179.35,80,http://76.83.179.35/home,enphase envoy,21.34614,-157.7238,,,860,86
152,76.173.231.251,443,http://76.173.231.251/,enphase envoy,21.3488,-157.8759,,,7.65,
153,141.239.152.159,80,http://141.239.152.159/home,enphase envoy,21.30694,-157.85833,,,7.65,
154,76.88.148.91,8082,http://76.88.148.91:8082/,enphase envoy,21.3274,-158.0103,,Authorization Required,7.65,
155,66.91.224.73,8082,http://66.91.224.73:8082/,enphase envoy,21.2941,-157.8284,,Authorization Required,7.65,
156,98.151.9.71,8082,http://98.151.9.71:8082/,enphase envoy,21.39734,-157.97516,,Authorization Required,7.65,
157,98.151.4.149,8082,http://98.151.4.149:8082/,enphase envoy,21.39734,-157.97516,,Authorization Required,7.65,
158,72.130.135.156,8082,http://72.130.135.156:8082/,enphase,21.38667,-158.00917,,Authorization Required,7.65,
159,66.75.91.69,443,http://66.75.91.69/home,enphase envoy,21.2887,-157.8006,,,7.65,
160,76.83.155.14,8082,http://76.83.155.14:8082/,enphase,21.2941,-157.8284,,Authorization Required,7.65,
161,98.150.235.214,8082,http://98.150.235.214:8082/,enphase,21.39994,-157.79895,,Authorization Required,7.65,
162,72.130.160.239,8082,http://72.130.160.239:8082/,enphase,21.39734,-157.97516,,Authorization Required,7.65,
163,72.234.98.152,8031,http://72.234.98.152:8031/,enphase envoy,21.4504,-158.01503,same ip as HT Naalehu CO above,,540,54
164,50.113.27.143,80,http://50.113.27.143/home,enphase envoy,21.4504,-158.01503,,,3210,321
165,76.173.89.118,8082,http://76.173.89.118:8082/,enphase,21.39994,-157.79895,,Authorization Required,7.65,
166,72.130.219.216,8082,http://72.130.219.216:8082/,enphase,21.2887,-157.8006,,Authorization Required,7.65,
167,72.234.121.228,8082,http://72.234.121.228:8082/,enphase,21.31066,-158.03638,,Authorization Required,7.65,
168,66.75.100.26,8082,http://66.75.100.26:8082/,enphase,21.2887,-157.8006,,Authorization Required,7.65,
169,72.130.160.112,80,http://72.130.160.112/home,enphase envoy,21.39734,-157.97516,,,7.65,
170,66.8.130.166,80,http://66.8.130.166/home,enphase envoy,21.33555,-158.0582,,,7.65,
171,141.239.81.53,80,http://141.239.81.53/home,enphase envoy,21.41823,-157.99906,,,7.65,
172,76.93.214.8,80,http://76.93.214.8/home,enphase envoy,21.2941,-157.8284,,,7.65,
173,76.93.216.120,80,http://76.93.216.120/home,enphase envoy,21.2941,-157.8284,,,7.65,
174,66.75.89.81,80,http://66.75.89.81/home,enphase envoy,21.2887,-157.8006,,,7.65,
175,72.234.218.246,80,http://72.234.218.246/home,enphase envoy,21.30694,-157.85833,,,7.65,
176,72.130.76.26,80,http://72.130.76.26/home,enphase envoy,21.34614,-157.7238,,,7.65,
177,66.91.168.161,80,http://66.91.168.161/home,enphase envoy,21.3179,-157.8521,,,7.65,
178,141.239.97.242,80,http://141.239.97.242/home,enphase envoy,21.40241,-157.74054,,,7.65,
179,66.75.90.138,80,http://66.75.90.138/home,enphase envoy,21.2887,-157.8006,,,7.65,
180,76.83.163.199,80,http://76.83.163.199/home,enphase envoy,21.3179,-157.8521,,,7.65,
181,98.155.85.12,80,http://98.155.85.12/home,enphase envoy,21.39734,-157.97516,,,7.65,
182,141.239.156.220,80,http://141.239.156.220/home,enphase envoy,21.30694,-157.85833,,,7.65,
183,66.8.253.33,80,http://66.8.253.33/home,enphase envoy,21.2887,-157.8006,,,7.65,
184,72.235.163.106,80,http://72.235.163.106/home,enphase envoy,21.4504,-158.01503,,,7.65,
185,72.235.230.183,80,http://72.235.230.183/home,enphase envoy,21.30694,-157.85833,,,7.65,
186,75.85.102.223,80,http://75.85.102.223/home,enphase envoy,21.33555,-158.0582,,,7.65,
187,72.130.101.76,80,http://72.130.101.76/home,enphase envoy,21.33555,-158.0582,,,7.65,
188,147.81.117.130,80,http://147.81.117.130/home,enphase envoy,21.30694,-157.85833,,,7.65,
189,98.151.241.255,80,http://98.151.241.255/home,enphase envoy,21.4504,-158.01503,,,7.65,
190,98.151.234.133,80,http://98.151.234.133/home,enphase envoy,21.4504,-158.01503,,,7.65,
191,98.155.84.85,80,http://98.155.84.85/home,enphase envoy,21.39734,-157.97516,,,7.65,
192,75.85.33.210,80,http://75.85.33.210/home,enphase envoy,21.3179,-157.8521,,,7.65,
193,75.85.110.219,80,http://75.85.110.219/home,enphase envoy,21.33555,-158.0582,,,7.65,
194,66.27.194.16,80,http://66.27.194.16/home,enphase envoy,21.39994,-157.79895,,,7.65,
195,141.239.168.75,80,http://141.239.168.75/home,enphase envoy,21.33555,-158.0582,,,7.65,
196,72.130.182.75,80,http://72.130.182.75/home,enphase envoy,21.4504,-158.01503,,,7.65,
197,75.85.155.116,80,http://75.85.155.116/home,enphase envoy,21.2887,-157.8006,,,7.65,
198,98.151.231.107,80,http://98.151.231.107/home,enphase envoy,21.4504,-158.01503,,,7.65,
199,76.172.36.118,80,http://76.172.36.118/home,enphase envoy,21.39734,-157.97516,,,7.65,
200,76.173.192.152,80,http://76.173.192.152/home,enphase envoy,21.39994,-157.79895,,,7.65,
201,98.155.112.161,80,http://98.155.112.161/home,enphase envoy,21.4504,-158.01503,,,7.65,
202,76.173.196.214,80,http://76.173.196.214/home,enphase envoy,21.39994,-157.79895,,,7.65,
203,72.130.148.35,80,http://72.130.148.35/home,enphase envoy,21.2941,-157.8284,,,7.65,
