ip,latitude,longitude,label
159.198.74.157,34.05223,-118.24368,solar
159.65.74.44,37.35411,-121.95524,solar
159.89.132.7,37.35411,-121.95524,solar
159.89.148.78,37.35411,-121.95524,solar
162.199.185.63,32.71571,-117.16472,solar
162.218.152.148,34.01223,-117.68894,solar
162.220.10.97,34.05223,-118.24368,solar
162.234.56.5,34.05223,-118.24368,solar
162.243.139.61,37.77493,-122.41942,solar
162.247.62.2,35.28275,-120.65962,solar
162.251.124.75,37.33939,-121.89496,solar
162.251.63.120,34.05223,-118.24368,solar
162.251.63.78,34.05223,-118.24368,solar
162.254.34.155,34.05223,-118.24368,solar
164.90.156.17,37.35411,-121.95524,solar
164.90.159.67,37.35411,-121.95524,solar
164.92.115.120,37.35411,-121.95524,solar
164.92.75.55,37.35411,-121.95524,solar
165.1.70.10,37.33939,-121.89496,solar
165.22.129.10,37.35411,-121.95524,solar
165.22.155.70,37.35411,-121.95524,solar
165.227.56.222,37.35411,-121.95524,solar
165.232.135.136,37.35411,-121.95524,solar
165.232.136.89,37.35411,-121.95524,solar
165.232.50.60,37.35411,-121.95524,solar
166.130.89.69,38.93129,-121.08189,solar
166.139.102.137,37.36883,-122.03635,solar
166.139.106.195,37.36883,-122.03635,solar
166.139.111.83,37.36883,-122.03635,solar
166.139.113.103,37.36883,-122.03635,solar
166.139.113.106,37.36883,-122.03635,solar
166.139.113.177,37.36883,-122.03635,solar
166.139.113.179,37.36883,-122.03635,solar
166.139.113.185,37.36883,-122.03635,solar
166.139.113.186,37.36883,-122.03635,solar
166.139.113.187,37.36883,-122.03635,solar
166.139.113.188,37.36883,-122.03635,solar
166.139.113.189,37.36883,-122.03635,solar
166.139.113.190,37.36883,-122.03635,solar
166.139.113.9,37.36883,-122.03635,solar
166.139.116.120,37.36883,-122.03635,solar
166.139.116.87,37.36883,-122.03635,solar
166.139.116.89,37.36883,-122.03635,solar
166.139.116.90,37.36883,-122.03635,solar
166.139.117.107,37.36883,-122.03635,solar
166.139.117.133,37.36883,-122.03635,solar
166.139.117.218,37.36883,-122.03635,solar
166.139.118.39,37.36883,-122.03635,solar
166.139.118.45,37.36883,-122.03635,solar
166.139.118.46,37.36883,-122.03635,solar
166.139.118.47,37.36883,-122.03635,solar
166.139.118.48,37.36883,-122.03635,solar
166.139.118.50,37.36883,-122.03635,solar
166.139.118.52,37.36883,-122.03635,solar
166.139.118.53,37.36883,-122.03635,solar
166.139.118.54,37.36883,-122.03635,solar
166.139.118.55,37.36883,-122.03635,solar
166.139.118.57,37.36883,-122.03635,solar
166.139.118.58,37.36883,-122.03635,solar
166.139.118.59,37.36883,-122.03635,solar
166.139.118.60,37.36883,-122.03635,solar
166.139.118.61,37.36883,-122.03635,solar
166.139.118.62,37.36883,-122.03635,solar
166.139.118.63,37.36883,-122.03635,solar
166.139.119.87,37.36883,-122.03635,solar
166.139.125.56,37.36883,-122.03635,solar
166.139.99.126,37.36883,-122.03635,solar
166.139.99.153,37.36883,-122.03635,solar
166.140.1.19,37.36883,-122.03635,solar
166.140.1.21,37.36883,-122.03635,solar
166.140.1.22,37.36883,-122.03635,solar
166.140.103.174,37.36883,-122.03635,solar
166.140.103.175,37.36883,-122.03635,solar
166.140.103.177,37.36883,-122.03635,solar
166.140.103.180,37.36883,-122.03635,solar
166.140.103.181,37.36883,-122.03635,solar
166.140.103.182,37.36883,-122.03635,solar
166.140.104.217,37.36883,-122.03635,solar
166.140.11.246,37.36883,-122.03635,solar
166.140.11.248,37.36883,-122.03635,solar
166.140.12.116,37.36883,-122.03635,solar
166.140.123.172,37.36883,-122.03635,solar
166.140.124.162,37.36883,-122.03635,solar
166.140.124.165,37.36883,-122.03635,solar
166.140.124.166,37.36883,-122.03635,solar
166.140.133.98,37.36883,-122.03635,solar
166.140.142.105,37.36883,-122.03635,solar
166.140.164.3,37.36883,-122.03635,solar
166.140.169.124,37.36883,-122.03635,solar
166.140.169.128,37.36883,-122.03635,solar
166.140.174.128,37.36883,-122.03635,solar
166.140.174.18,37.36883,-122.03635,solar
166.140.176.113,37.36883,-122.03635,solar
166.140.176.116,37.36883,-122.03635,solar
166.140.176.68,37.36883,-122.03635,solar
166.140.178.114,37.36883,-122.03635,solar
166.140.178.150,37.36883,-122.03635,solar
166.140.178.218,37.36883,-122.03635,solar
166.140.188.153,37.36883,-122.03635,solar
166.140.192.41,37.36883,-122.03635,solar
166.140.192.52,37.36883,-122.03635,solar
166.140.192.95,37.36883,-122.03635,solar
166.140.2.60,37.36883,-122.03635,solar
166.140.203.115,37.36883,-122.03635,solar
